dataset,model,mechanism,variant,fold,rate,train_actual_rate,test_actual_rate,accuracy,roc_auc,brier,ece,accuracy_change_vs_clean,roc_auc_change_vs_clean,brier_change_vs_clean,ece_change_vs_clean
wdbc,logistic_regression,mnar,simple,3,0.5,0.52,0.47192982456140353,0.9649122807017544,0.9980158730158729,0.017675142188150736,0.03614143037603993,-0.02631578947368418,-0.001984126984127088,0.006675097347154957,0.004208460010058784
wdbc,logistic_regression,mnar,simple_plus_indicators,3,0.5,0.52,0.47192982456140353,0.9824561403508771,0.9996693121693121,0.011805109798774941,0.03888731765234539,-0.00877192982456143,-0.00033068783068790353,0.0008050649577791627,0.006954347286364244
wdbc,logistic_regression,mnar,simple,4,0.1,0.09824561403508772,0.10088495575221239,0.9823008849557522,0.9993293091884641,0.015121414424165959,0.013317580234444447,-0.008849557522123908,0.0006706908115359234,0.0036120213085393867,-0.005894885816833081
wdbc,logistic_regression,mnar,simple_plus_indicators,4,0.1,0.09824561403508772,0.10088495575221239,0.9911504424778761,0.9986586183769282,0.012986219917081331,0.018481581721103917,0.0,0.0,0.001476826801454759,-0.0007308843301736118
wdbc,logistic_regression,mnar,simple,4,0.2,0.2043859649122807,0.20707964601769913,0.9911504424778761,0.9993293091884641,0.013949690862271819,0.02205776580487804,0.0,0.0006706908115359234,0.0024402977466452466,0.002845299753600511
wdbc,logistic_regression,mnar,simple_plus_indicators,4,0.2,0.2043859649122807,0.20707964601769913,0.9911504424778761,0.9993293091884641,0.011067045476819304,0.02519512513039134,0.0,0.0006706908115359234,-0.0004423476388072684,0.0059826590791138105
wdbc,logistic_regression,mnar,simple,4,0.3,0.3030701754385965,0.2938053097345133,0.9911504424778761,0.9959758551307847,0.013626674764920061,0.017789032051121777,0.0,-0.0026827632461434714,0.002117281649293489,-0.0014234340001557516
wdbc,logistic_regression,mnar,simple_plus_indicators,4,0.3,0.3030701754385965,0.2938053097345133,0.9911504424778761,0.9979879275653923,0.012558833777453775,0.019886658978770812,0.0,-0.0006706908115358123,0.0010494406618272029,0.0006741929274932841
wdbc,logistic_regression,mnar,simple,4,0.5,0.5135964912280702,0.47079646017699117,0.9911504424778761,0.9959758551307847,0.011883542837524875,0.01457129891959301,0.0,-0.0026827632461434714,0.00037414972189830226,-0.004641167131684519
wdbc,logistic_regression,mnar,simple_plus_indicators,4,0.5,0.5135964912280702,0.47079646017699117,0.9911504424778761,0.999664654594232,0.01017431504628621,0.014601362233901974,0.0,0.001006036217303885,-0.0013350780693403615,-0.0046111038173755545
