dataset,model,mechanism,imputer,fold,rate,train_actual_rate,test_actual_rate,accuracy,roc_auc,brier,accuracy_change_vs_clean,roc_auc_change_vs_clean,brier_change_vs_clean
wdbc,logistic_regression,mar,iterative,2,0.3,0.30725274725274726,0.312280701754386,0.956140350877193,0.986111111111111,0.032652282916087814,-0.00877192982456143,0.0009920634920633775,0.0026984669045726772
wdbc,logistic_regression,mar,simple,2,0.5,0.4918681318681319,0.5140350877192983,0.956140350877193,0.9854497354497355,0.03510476183189836,-0.00877192982456143,0.0003306878306877925,0.005150945820383224
wdbc,logistic_regression,mar,knn,2,0.5,0.4918681318681319,0.5140350877192983,0.9649122807017544,0.9867724867724867,0.033603869456483505,0.0,0.0016534391534390736,0.003650053444968368
wdbc,logistic_regression,mar,iterative,2,0.5,0.4918681318681319,0.5140350877192983,0.9649122807017544,0.9841269841269842,0.03796123560092791,0.0,-0.0009920634920634885,0.00800741958941277
wdbc,logistic_regression,mar,simple,3,0.1,0.10285714285714286,0.11228070175438597,0.9912280701754386,1.0,0.010329179579368478,0.0,0.0,-0.0006708652616273011
wdbc,logistic_regression,mar,knn,3,0.1,0.10285714285714286,0.11228070175438597,0.9912280701754386,1.0,0.011918270910818233,0.0,0.0,0.0009182260698224545
wdbc,logistic_regression,mar,iterative,3,0.1,0.10285714285714286,0.11228070175438597,0.9912280701754386,1.0,0.010539837545926814,0.0,0.0,-0.0004602072950689647
wdbc,logistic_regression,mar,simple,3,0.2,0.2087912087912088,0.19649122807017544,0.9824561403508771,0.9996693121693121,0.01452085063013497,-0.00877192982456143,-0.00033068783068790353,0.0035208057891391916
wdbc,logistic_regression,mar,knn,3,0.2,0.2087912087912088,0.19649122807017544,0.9824561403508771,0.9993386243386243,0.018215513011863558,-0.00877192982456143,-0.000661375661375696,0.007215468170867779
wdbc,logistic_regression,mar,iterative,3,0.2,0.2087912087912088,0.19649122807017544,0.9912280701754386,1.0,0.010973441996141678,0.0,0.0,-2.6602844854100444e-05
wdbc,logistic_regression,mar,simple,3,0.3,0.3134065934065934,0.2719298245614035,0.9736842105263158,0.9996693121693121,0.02002354545801012,-0.01754385964912275,-0.00033068783068790353,0.009023500617014341
wdbc,logistic_regression,mar,knn,3,0.3,0.3134065934065934,0.2719298245614035,0.9824561403508771,0.9993386243386243,0.019782600597589586,-0.00877192982456143,-0.000661375661375696,0.008782555756593808
wdbc,logistic_regression,mar,iterative,3,0.3,0.3134065934065934,0.2719298245614035,0.9912280701754386,1.0,0.012898163918714865,0.0,0.0,0.0018981190777190866
wdbc,logistic_regression,mar,simple,3,0.5,0.5129670329670329,0.4842105263157895,0.956140350877193,0.9963624338624338,0.024796045177918696,-0.03508771929824561,-0.0036375661375661617,0.013796000336922918
wdbc,logistic_regression,mar,knn,3,0.5,0.5129670329670329,0.4842105263157895,0.9385964912280702,0.998015873015873,0.02695842300193073,-0.05263157894736836,-0.001984126984126977,0.015958378160934948
wdbc,logistic_regression,mar,iterative,3,0.5,0.5129670329670329,0.4842105263157895,0.9736842105263158,0.9983465608465608,0.022111272527798632,-0.01754385964912275,-0.0016534391534391846,0.011111227686802854
wdbc,logistic_regression,mar,simple,4,0.1,0.0969298245614035,0.10973451327433628,0.9911504424778761,0.9989939637826961,0.01211856599994155,0.0,0.0003353454057679617,0.000609172884314977
wdbc,logistic_regression,mar,knn,4,0.1,0.0969298245614035,0.10973451327433628,0.9911504424778761,0.9989939637826961,0.011726244490121041,0.0,0.0003353454057679617,0.00021685137449446897
wdbc,logistic_regression,mar,iterative,4,0.1,0.0969298245614035,0.10973451327433628,0.9911504424778761,0.9986586183769282,0.011527767586929728,0.0,0.0,1.8374471303156045e-05
wdbc,logistic_regression,mar,simple,4,0.2,0.19956140350877194,0.20707964601769913,0.9911504424778761,0.9986586183769282,0.013026728074556366,0.0,0.0,0.0015173349589297936
wdbc,logistic_regression,mar,knn,4,0.2,0.19956140350877194,0.20707964601769913,0.9823008849557522,0.9989939637826961,0.013849808067067317,-0.008849557522123908,0.0003353454057679617,0.0023404149514407446
wdbc,logistic_regression,mar,iterative,4,0.2,0.19956140350877194,0.20707964601769913,0.9911504424778761,0.9986586183769282,0.011782085889179311,0.0,0.0,0.00027269277355273895
wdbc,logistic_regression,mar,simple,4,0.3,0.30701754385964913,0.30265486725663715,0.9911504424778761,0.9986586183769282,0.015289571676417207,0.0,0.0,0.0037801785607906348
wdbc,logistic_regression,mar,knn,4,0.3,0.30701754385964913,0.30265486725663715,0.9823008849557522,0.9983232729711603,0.01585507874769491,-0.008849557522123908,-0.00033534540576785066,0.004345685632068339
wdbc,logistic_regression,mar,iterative,4,0.3,0.30701754385964913,0.30265486725663715,0.9911504424778761,0.9986586183769282,0.012354317492218235,0.0,0.0,0.0008449243765916627
wdbc,logistic_regression,mar,simple,4,0.5,0.5153508771929824,0.4902654867256637,0.9911504424778761,0.9963112005365526,0.01704859948335117,0.0,-0.0023474178403755097,0.005539206367724597
wdbc,logistic_regression,mar,knn,4,0.5,0.5153508771929824,0.4902654867256637,0.9911504424778761,0.9963112005365526,0.01639443438728929,0.0,-0.0023474178403755097,0.004885041271662718
wdbc,logistic_regression,mar,iterative,4,0.5,0.5153508771929824,0.4902654867256637,0.9911504424778761,0.9959758551307847,0.016309418436553896,0.0,-0.0026827632461434714,0.004800025320927324
