dataset,model,imputer,mechanism,fold,rate,train_actual_rate,test_actual_rate,accuracy,roc_auc,brier,ece,accuracy_change_vs_clean,roc_auc_change_vs_clean,brier_change_vs_clean,ece_change_vs_clean
wdbc,logistic_regression,iterative,mnar,3,0.3,0.316043956043956,0.2719298245614035,0.9824561403508771,0.9996693121693121,0.014971208888556044,0.03682151143763497,-0.00877192982456143,-0.00033068783068790353,0.003971164047560266,0.004888541071653825
wdbc,logistic_regression,iterative,mnar,3,0.5,0.52,0.47192982456140353,0.9912280701754386,0.9996693121693121,0.012922453688788287,0.03079968533545083,0.0,-0.00033068783068790353,0.0019224088477925085,-0.0011332850305303156
wdbc,logistic_regression,iterative,mcar,4,0.1,0.09926900584795322,0.10117994100294986,0.9911504424778761,0.9983232729711603,0.01243302098612351,0.02282532228574918,0.0,-0.00033534540576785066,0.0009236278704969382,0.0036128562344716515
wdbc,logistic_regression,iterative,mcar,4,0.2,0.20109649122807016,0.20766961651917404,0.9911504424778761,0.9979879275653923,0.013215316710607519,0.024931532623844833,0.0,-0.0006706908115358123,0.0017059235949809463,0.005719066572567304
wdbc,logistic_regression,iterative,mcar,4,0.3,0.3047514619883041,0.31091445427728615,0.9911504424778761,0.9966465459423206,0.012549093199178877,0.02024488903015975,0.0,-0.002012072434607548,0.001039700083552305,0.0010324229788822234
wdbc,logistic_regression,iterative,mcar,4,0.5,0.5054093567251462,0.512094395280236,0.9646017699115044,0.9979879275653923,0.0199944084984897,0.025751482714768244,-0.026548672566371723,-0.0006706908115358123,0.008485015382863127,0.006539016663490715
wdbc,logistic_regression,iterative,mar,4,0.1,0.0969298245614035,0.10973451327433628,0.9911504424778761,0.9986586183769282,0.011527767586929728,0.021075119622188332,0.0,0.0,1.8374471303156045e-05,0.0018626535709108036
wdbc,logistic_regression,iterative,mar,4,0.2,0.19956140350877194,0.20707964601769913,0.9911504424778761,0.9986586183769282,0.011782085889179311,0.02165117182563406,0.0,0.0,0.00027269277355273895,0.002438705774356533
wdbc,logistic_regression,iterative,mar,4,0.3,0.30701754385964913,0.30265486725663715,0.9911504424778761,0.9986586183769282,0.012354317492218235,0.022768441641141557,0.0,0.0,0.0008449243765916627,0.0035559755898640286
wdbc,logistic_regression,iterative,mar,4,0.5,0.5153508771929824,0.4902654867256637,0.9911504424778761,0.9959758551307847,0.016309418436553896,0.02909815929882858,0.0,-0.0026827632461434714,0.004800025320927324,0.00988569324755105
wdbc,logistic_regression,iterative,mnar,4,0.1,0.09824561403508772,0.10088495575221239,0.9911504424778761,0.9986586183769282,0.013832137104521974,0.023656592872792464,0.0,0.0,0.0023227439888954017,0.004444126821514936
wdbc,logistic_regression,iterative,mnar,4,0.2,0.2043859649122807,0.20707964601769913,0.9823008849557522,0.9989939637826961,0.015844322646765628,0.02724373659883915,-0.008849557522123908,0.0003353454057679617,0.004334929531139056,0.008031270547561621
wdbc,logistic_regression,iterative,mnar,4,0.3,0.3030701754385965,0.2938053097345133,0.9823008849557522,0.9969818913480885,0.015477172607810192,0.023226639933259016,-0.008849557522123908,-0.0016767270288396974,0.00396777949218362,0.004014173881981487
wdbc,logistic_regression,iterative,mnar,4,0.5,0.5135964912280702,0.47079646017699117,0.9911504424778761,0.9953051643192488,0.010829111128257563,0.01086160287401225,0.0,-0.0033534540576793948,-0.0006802819873690091,-0.008350863177265279
