dataset,model,mechanism,imputer,fold,rate,train_actual_rate,test_actual_rate,accuracy,roc_auc,brier,accuracy_change_vs_clean,roc_auc_change_vs_clean,brier_change_vs_clean
wdbc,logistic_regression,mnar,iterative,3,0.2,0.2057142857142857,0.18771929824561404,0.9912280701754386,0.9996693121693121,0.013256353245038552,0.0,-0.00033068783068790353,0.0022563084040427735
wdbc,logistic_regression,mnar,simple,3,0.3,0.316043956043956,0.2719298245614035,0.9736842105263158,0.9993386243386243,0.0206290559929253,-0.01754385964912275,-0.000661375661375696,0.009629011151929523
wdbc,logistic_regression,mnar,knn,3,0.3,0.316043956043956,0.2719298245614035,0.9824561403508771,0.9996693121693121,0.01786408145090135,-0.00877192982456143,-0.00033068783068790353,0.006864036609905573
wdbc,logistic_regression,mnar,iterative,3,0.3,0.316043956043956,0.2719298245614035,0.9824561403508771,0.9996693121693121,0.014971208888556044,-0.00877192982456143,-0.00033068783068790353,0.003971164047560266
wdbc,logistic_regression,mnar,simple,3,0.5,0.52,0.47192982456140353,0.9649122807017544,0.9980158730158729,0.017675142188150736,-0.02631578947368418,-0.001984126984127088,0.006675097347154957
wdbc,logistic_regression,mnar,knn,3,0.5,0.52,0.47192982456140353,0.9824561403508771,0.9976851851851852,0.01973452122326421,-0.00877192982456143,-0.0023148148148147696,0.008734476382268432
wdbc,logistic_regression,mnar,iterative,3,0.5,0.52,0.47192982456140353,0.9912280701754386,0.9996693121693121,0.012922453688788287,0.0,-0.00033068783068790353,0.0019224088477925085
wdbc,logistic_regression,mnar,simple,4,0.1,0.09824561403508772,0.10088495575221239,0.9823008849557522,0.9993293091884641,0.015121414424165959,-0.008849557522123908,0.0006706908115359234,0.0036120213085393867
wdbc,logistic_regression,mnar,knn,4,0.1,0.09824561403508772,0.10088495575221239,0.9823008849557522,0.9993293091884641,0.015497957945382427,-0.008849557522123908,0.0006706908115359234,0.003988564829755854
wdbc,logistic_regression,mnar,iterative,4,0.1,0.09824561403508772,0.10088495575221239,0.9911504424778761,0.9986586183769282,0.013832137104521974,0.0,0.0,0.0023227439888954017
