dataset,model,mechanism,imputer,fold,rate,train_actual_rate,test_actual_rate,accuracy,roc_auc,brier,accuracy_change_vs_clean,roc_auc_change_vs_clean,brier_change_vs_clean
wdbc,logistic_regression,mcar,knn,3,0.3,0.30153846153846153,0.3,0.956140350877193,0.9976851851851852,0.029607510527458764,-0.03508771929824561,-0.0023148148148147696,0.018607465686462987
wdbc,logistic_regression,mcar,iterative,3,0.3,0.30153846153846153,0.3,0.9824561403508771,1.0,0.016412556775803566,-0.00877192982456143,0.0,0.005412511934807787
wdbc,logistic_regression,mcar,simple,3,0.5,0.4988278388278388,0.5046783625730994,0.9210526315789473,0.986441798941799,0.06272980316222486,-0.07017543859649122,-0.013558201058201047,0.05172975832122908
wdbc,logistic_regression,mcar,knn,3,0.5,0.4988278388278388,0.5046783625730994,0.9122807017543859,0.9847883597883598,0.05866884873068593,-0.07894736842105265,-0.015211640211640232,0.04766880388969015
wdbc,logistic_regression,mcar,iterative,3,0.5,0.4988278388278388,0.5046783625730994,0.9385964912280702,0.9990079365079365,0.03216539124984629,-0.05263157894736836,-0.0009920634920634885,0.02116534640885051
wdbc,logistic_regression,mcar,simple,4,0.1,0.09926900584795322,0.10117994100294986,0.9734513274336283,0.9979879275653923,0.017910396732371065,-0.017699115044247815,-0.0006706908115358123,0.006401003616744493
wdbc,logistic_regression,mcar,knn,4,0.1,0.09926900584795322,0.10117994100294986,0.9823008849557522,0.9979879275653923,0.016089957681117012,-0.008849557522123908,-0.0006706908115358123,0.00458056456549044
wdbc,logistic_regression,mcar,iterative,4,0.1,0.09926900584795322,0.10117994100294986,0.9911504424778761,0.9983232729711603,0.01243302098612351,0.0,-0.00033534540576785066,0.0009236278704969382
wdbc,logistic_regression,mcar,simple,4,0.2,0.20109649122807016,0.20766961651917404,0.9734513274336283,0.9963112005365526,0.02407393764018926,-0.017699115044247815,-0.0023474178403755097,0.012564544524562687
wdbc,logistic_regression,mcar,knn,4,0.2,0.20109649122807016,0.20766961651917404,0.9823008849557522,0.9969818913480885,0.018466861479085297,-0.008849557522123908,-0.0016767270288396974,0.0069574683634587246
wdbc,logistic_regression,mcar,iterative,4,0.2,0.20109649122807016,0.20766961651917404,0.9911504424778761,0.9979879275653923,0.013215316710607519,0.0,-0.0006706908115358123,0.0017059235949809463
wdbc,logistic_regression,mcar,simple,4,0.3,0.3047514619883041,0.31091445427728615,0.9646017699115044,0.9909456740442656,0.030598732054140796,-0.026548672566371723,-0.0077129443326625635,0.019089338938514222
wdbc,logistic_regression,mcar,knn,4,0.3,0.3047514619883041,0.31091445427728615,0.9734513274336283,0.9966465459423206,0.02399187913813359,-0.017699115044247815,-0.002012072434607548,0.012482486022507016
wdbc,logistic_regression,mcar,iterative,4,0.3,0.3047514619883041,0.31091445427728615,0.9911504424778761,0.9966465459423206,0.012549093199178877,0.0,-0.002012072434607548,0.001039700083552305
wdbc,logistic_regression,mcar,simple,4,0.5,0.5054093567251462,0.512094395280236,0.9380530973451328,0.9862508383635145,0.04743313767280853,-0.053097345132743334,-0.012407780013413694,0.03592374455718196
wdbc,logistic_regression,mcar,knn,4,0.5,0.5054093567251462,0.512094395280236,0.9203539823008849,0.9698189134808853,0.05998729756598183,-0.07079646017699115,-0.028839704896042817,0.04847790445035526
wdbc,logistic_regression,mcar,iterative,4,0.5,0.5054093567251462,0.512094395280236,0.9646017699115044,0.9979879275653923,0.0199944084984897,-0.026548672566371723,-0.0006706908115358123,0.008485015382863127
