dataset,model,mechanism,variant,fold,rate,train_actual_rate,test_actual_rate,accuracy,roc_auc,brier,ece,accuracy_change_vs_clean,roc_auc_change_vs_clean,brier_change_vs_clean,ece_change_vs_clean
wdbc,logistic_regression,mar,simple,3,0.5,0.5129670329670329,0.4842105263157895,0.956140350877193,0.9963624338624338,0.024796045177918696,0.03232957922452551,-0.03508771929824561,-0.0036375661375661617,0.013796000336922918,0.0003966088585443672
wdbc,logistic_regression,mar,simple_plus_indicators,3,0.5,0.5129670329670329,0.4842105263157895,0.9385964912280702,0.9907407407407407,0.03879916995788952,0.05833479463327524,-0.05263157894736836,-0.0092592592592593,0.02779912511689374,0.026401824267294094
wdbc,logistic_regression,mar,simple,4,0.1,0.0969298245614035,0.10973451327433628,0.9911504424778761,0.9989939637826961,0.01211856599994155,0.01883451516353864,0.0,0.0003353454057679617,0.000609172884314977,-0.00037795088773888777
wdbc,logistic_regression,mar,simple_plus_indicators,4,0.1,0.0969298245614035,0.10973451327433628,0.9911504424778761,0.9986586183769282,0.0113656695617101,0.016988500643623856,0.0,0.0,-0.00014372355391647183,-0.0022239654076536726
wdbc,logistic_regression,mar,simple,4,0.2,0.19956140350877194,0.20707964601769913,0.9911504424778761,0.9986586183769282,0.013026728074556366,0.02170062733009994,0.0,0.0,0.0015173349589297936,0.0024881612788224122
wdbc,logistic_regression,mar,simple_plus_indicators,4,0.2,0.19956140350877194,0.20707964601769913,0.9911504424778761,0.9986586183769282,0.012956389872652734,0.023933003365924334,0.0,0.0,0.0014469967570261612,0.0047205373146468055
wdbc,logistic_regression,mar,simple,4,0.3,0.30701754385964913,0.30265486725663715,0.9911504424778761,0.9986586183769282,0.015289571676417207,0.025565207367042906,0.0,0.0,0.0037801785607906348,0.006352741315765378
wdbc,logistic_regression,mar,simple_plus_indicators,4,0.3,0.30701754385964913,0.30265486725663715,0.9911504424778761,0.9989939637826961,0.015465735073640473,0.025713226309063475,0.0,0.0003353454057679617,0.003956341958013901,0.006500760257785947
wdbc,logistic_regression,mar,simple,4,0.5,0.5153508771929824,0.4902654867256637,0.9911504424778761,0.9963112005365526,0.01704859948335117,0.028667116789013517,0.0,-0.0023474178403755097,0.005539206367724597,0.009454650737735989
wdbc,logistic_regression,mar,simple_plus_indicators,4,0.5,0.5153508771929824,0.4902654867256637,0.9911504424778761,0.9976525821596244,0.015966067123795336,0.023878232238828852,0.0,-0.001006036217303774,0.004456674008168763,0.0046657661875513234
